Expt date,Fish,Expt type,Ephys,save_dir
20190728,fish00,HG_vs_LG_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_HG/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630/ephys/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630/
20190902,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20190902/fish00/7dpf_HuC-GECO_GU-slow-fwd_behaveonly_fish00_exp03//ephys/7dpf_HuC-GECO_GU-slow-fwd_behaveonly_fish00_exp03.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190902/fish00/7dpf_HuC-GECO_GU-slow-fwd_behaveonly_fish00_exp03/
20190906,fish02,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20190906/fish02/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01_20190906_202556/ephys/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190906/fish02/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01_20190906_202556/
20190907,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639/ephys/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639/
20191130,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/ephys/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/
20191130,fish00,LGGU_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/ephys/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/
20191201,fish00,LG_vs_NGGU_fmg_multivel,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU_multivel/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/ephys/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/
20191201,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/ephys/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/
20191205,fish01,LGGU_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/ephys/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/
20200105,fish01,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/ephys/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/
20200107,fish03,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU_fish03_exp02_20200107_201417/ephys/6dpf_HuC-GC7FF_LGNGGU_fish03_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU_fish03_exp02_20200107_201417/
20200107,fish03,LG_vs_NGGU_fmg_multivel,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU_multivel/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/ephys/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/
20200211,fish00,LG_vs_NG_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NG/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/ephys/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/
20200217,fish00,LG_vs_NG_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NG/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122/ephys/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122/
20200218,fish01,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/ephys/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/
20200711,fish00,LG_vs_NG_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NG/20200711/fish00/7dpf_HuC-GC7FF-GFAP-RGECO_NGnoGU_fish00_exp02_20200711_184710/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200711/fish00/7dpf_HuC-GC7FF-GFAP-RGECO_NGnoGU_fish00_exp02_20200711_184710/
20200802,fish01,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU/20200802/fish01/7dpf_HuC-GC7FF_gfap-rgeco_NGGU-LG_fish01_exp05_20200802_220800/ephys/7dpf_HuC-GC7FF_gfap-rgeco_NGGU-LG_fish01_exp05.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200802/fish01/7dpf_HuC-GC7FF_gfap-rgeco_NGGU-LG_fish01_exp05_20200802_220800/
20200817,fish01,LG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_replayGU/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730/ephys/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_ver1.1.1.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730/
20200823,fish01,LG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_replayGU/20200823/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/ephys/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07ver1.2.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/
20200907,fish02,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/ephys/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/
20200914,fish01,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200914/fish01/6dpf_elavl3-Gal4UAS-GCaMP7FFF_LGvsNGGU_fish01_exp04_20200914_202938/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200914/fish01/6dpf_elavl3-Gal4UAS-GCaMP7FFF_LGvsNGGU_fish01_exp04_20200914_202938/
20200930,fish00,LG_vs_NGGU_fmg_multivel,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU_multivel/20200930/fish00/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LGvsNGGU_multivel_fish00_exp04/ephys/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LGvsNGGU_multivel_fish00_exp04_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200930/fish00/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LGvsNGGU_multivel_fish00_exp04/
20201002,fish00,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NGGU/20201002/fish00/7dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsNGGU_fish00_exp05/ephys/7dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsNGGU_fish00_exp05_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201002/fish00/7dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsNGGU_fish00_exp05/
20201009,fish00,simulate_visual,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/simulate-visual/20201009/fish00/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish00_exp02_20201009_165000/ephys/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish00_exp02_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201009/fish00/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish00_exp02_20201009_165000/
20201009,fish01,simulate_visual,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/simulate-visual/20201009/fish01/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish01_exp01_20201010_000350/ephys/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish01_exp01_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201009/fish01/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish01_exp01_20201010_000350/
20201017,fish00,simulate_visual,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201017/fish02/8dpf_HuC-GCaMP7f-Gfap-rgeco_MGvsReplayGU_fish02_exp03_20201017_194946/,
20201017,fish02,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201017/fish02/8dpf_HuC-GCaMP7f-Gfap-rgeco_MGvsReplayGU_fish02_exp02_20201017_181836/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201017/fish02/8dpf_HuC-GCaMP7f-Gfap-rgeco_MGvsReplayGU_fish02_exp02_20201017_181836/
20201017,fish02,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201017/fish02/8dpf_HuC-GCaMP7f-Gfap-rgeco_MGvsReplayGU_fish02_exp03_20201017_194946/ephys,
20201026,fish01,MG_vs_NGGU_fmg_multivel,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_NGGU_multivel/20201026/fish01/6dpf_HuC-GCaMP7FF-gfap-rgeco_fish01_MGvsNGGU-multivel_exp05_20201026_195347/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201026/fish01/6dpf_HuC-GCaMP7FF-gfap-rgeco_fish01_MGvsNGGU-multivel_exp05_20201026_195347/
20201026,fish01,MG_vs_NGGU_fmg_multivel,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_NGGU_multivel/20201026/fish01/6dpf_HuC-GCaMP7FF-gfap-rgeco_fish01_MGvsNGGU-multivel_exp06_20201026_223509/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201026/fish01/6dpf_HuC-GCaMP7FF-gfap-rgeco_fish01_MGvsNGGU-multivel_exp06_20201026_223509/
20201027,fish00,simulate_visual,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/simulate-visual/20201027/fish00/7dpf_HuC-GCaMP7FF-gfap-rgeco_fish00_simulate-visual_exp01_20201027_192908/ephys/7dpf_HuC-GCaMP7FF-gfap-rgeco_fish00_simulate-visual_exp01_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201027/fish00/7dpf_HuC-GCaMP7FF-gfap-rgeco_fish00_simulate-visual_exp01_20201027_192908/
20201027,fish01,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/ephys/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/
20201028,fish01,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201028/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/ephys/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201028/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/
20201101,fish02,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20201101/fish02/9dpf_HuC-GC6F_MG-vs-ReplayGU_fish02_exp02_20201101_214112/ephys/9dpf_HuC-GC6F_MG-vs-ReplayGU_fish02_exp02_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201101/fish02/9dpf_HuC-GC6F_MG-vs-ReplayGU_fish02_exp02_20201101_214112/
