Expt date,Fish,Expt type,Ephys,save_dir
20201103,fish01,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201103/fish01/5dpf_HuC-GC7FF-GFAP-RGECO_MGvsRepalyGU_fish01_exp04_20201103_223012/ephys/5dpf_HuC-GC7FF-GFAP-RGECO_MGvsRepalyGU_fish01_exp04_ver3.1.2.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201103/fish01/5dpf_HuC-GC7FF-GFAP-RGECO_MGvsRepalyGU_fish01_exp04_20201103_223012/
20201112,fish00,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201112/fish00/7dpf_HuC-GC7FF-GFAP-RGECO_MGvsReplayGU_fish00_exp02_20201112_152751/ephys/7dpf_HuC-GC7FF-GFAP-RGECO_MGvsReplayGU_fish00_exp02_ver3.1.3.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201112/fish00/7dpf_HuC-GC7FF-GFAP-RGECO_MGvsReplayGU_fish00_exp02_20201112_152751/
20201113,fish00,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201113/fish00/8dpf_HuC-GC7FF-GFAP-RGECO_MG-vs-ReplayGU_fish00_exp04_20201113_150248/ephys/8dpf_HuC-GC7FF-GFAP-RGECO_MG-vs-ReplayGU_fish00_exp04_ver3.1.3.10chFlt,
20201225,fish01,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_replayGU/20201225/fish01/7dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20201225_210323/ephys/7dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_ver4.0.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201225/fish01/7dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20201225_210323/im_CM0/
20201231,fish00,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_replayGU/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp04_20201231_214643/ephys/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp04_ver4.0.0.10chFlt,
20210101,fish01,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp03_20210101_232043/ephys/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp03_ver4.0.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp03_20210101_232043/
20210101,fish01,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/ephys/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_ver4.0.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/im_CM0/
20210304,fish03,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GRABNE/MG_vs_NGGU/20210304/fish03/6dpf_GRABNE_MG-vs-NGGU-fmg_fish03_exp02_20210304_220752/ephys/6dpf_GRABNE_MG-vs-LGGU-fmg_fish03_exp02_ver4.0.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210304/fish03/6dpf_GRABNE_MG-vs-NGGU-fmg_fish03_exp02_20210304_220752/
20210305,fish01,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GRABNE/MG_vs_NGGU/20210305/fish01/7dpf_GRABNE_MG-vs-NGGU-fmg_fish01_exp03_20210305_215942/ephys/7dpf_GRABNE_MG-vs-NGGU-fmg_fish01_exp03_ver4.0.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210305/fish01/7dpf_GRABNE_MG-vs-NGGU-fmg_fish01_exp03_20210305_215942/im_CM0_dff/
20210326,fish02,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GRABNE/MG_vs_NGGU/20210326/fish02/6dpf_elavl3-GRABNE_MG-vs-NGGU-fmg_fish02_exp03_20210326_212820/ephys/6dpf_elavl3-GRABNE_MG-vs-NGGU-fmg_fish02_exp03_ver4.0.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210326/fish02/6dpf_elavl3-GRABNE_MG-vs-NGGU-fmg_fish02_exp03_20210326_212820/im_CM0_dff/
20210401,fish00,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/gfap-GRABNE/MG_vs_NGGU/20210401/fish00/5dpf_gfap-GRABNE_MG-vs-NGGU-fmg_fish00_exp04_20210401_203234/ephys/5dpf_gfap-GRABNE_MG-vs-NGGU-fmg_fish00_exp04_ver4.0.0.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210401/fish00/5dpf_gfap-GRABNE_MG-vs-NGGU-fmg_fish00_exp04_20210401_203234/im_CM0_dff/
20210402,fish02,MG_vs_negG_fmg,/nrs/ahrens/jing/statemod/statedep/gfap-GRABNE/MG_vs_negG/20210402/fish02/6dpf_gfap-GRABNE_MG-vs-negG-fmg_fish02_exp07_20210402_233021/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210402/fish02/6dpf_gfap-GRABNE_MG-vs-negG-fmg_fish02_exp07_20210402_233021/im_CM0_dff/
20210415,fish01,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GRABDA/MG_vs_negG/20210415/fish01/6dpf_elavl3-DA44_MG-vs-NG_fmg_fish01_exp02_20210415_232552/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210415/fish01/6dpf_elavl3-DA44_MG-vs-NG_fmg_fish01_exp02_20210415_232552/im_CM0_dff/
20210422,fish02,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/th1-gal4_uas-GC/20210422/fish02/5dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish02_exp05_20210423_001544/ephys/5dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish02_exp05_ver4.0.0.13chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210422/fish02/5dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish02_exp05_20210423_001544/im_CM0_dff/
20210422,fish02,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/th1-gal4_uas-GC/20210422/fish02/5dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish02_exp02_20210422_214915/ephys/5dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish02_exp02_ver4.0.0.13chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210422/fish02/5dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish02_exp02_20210422_214915/im_CM0_dff/
20210423,fish00,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/th1-gal4_uas-GC/20210423/fish00/6dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish00_exp03_20210423_184603/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210423/fish00/6dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish00_exp03_20210423_184603/im_CM0_dff/
20210423,fish00,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/th1-gal4_uas-GC/20210423/fish00/6dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish00_exp04_20210423_205451/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210423/fish00/6dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish00_exp04_20210423_205451/im_CM0_dff/
20210610,fish00,MG_vs_LG_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GRABDA/MG_vs_LG/20210610/fish00/6dpf_GRAB_DA_MG-vs-LG-fmg_fish00_exp02_20210610_162106/ephys/6dpf_gal4-th1-uas-gc6s_MG-vs-NGGU-fmg_fish00_exp04_ver4.0.0.13chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210610/fish00/6dpf_GRAB_DA_MG-vs-LG-fmg_fish00_exp02_20210610_162106/
20210610,fish01,MG_vs_NG_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GRABDA/MG_vs_LG/20210610/fish00/6dpf_GRAB_DA_MG-vs-LG-fmg_fish00_exp02_20210610_162106/ephys/6dpf_GRAB_DA_MG-vs-LG-fmg_fish00_exp02_ver4.0.0.13chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210610/fish00/6dpf_GRAB_DA_MG-vs-LG-fmg_fish00_exp02_20210610_162106/
20210624,fish01,MG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/gfap-GRABDA/MG_vs_NGGU/20210624/fish01/5dpf_gfap-GRAB_DA_MG_vs_NGGU_fmg_fish01_exp02_20210624_175758/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210624/fish01/5dpf_gfap-GRAB_DA_MG_vs_NGGU_fmg_fish01_exp02_20210624_175758/
20210624,fish02,MG_vs_LG,/nrs/ahrens/jing/statemod/statedep/gfap-GRABDA/MG_vs_LG/20210624/fish02/5dpf_elavl3-GRAB_DA_MG-vs-LG_fmg_fish02_exp07_20210624_234641/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210624/fish02/5dpf_elavl3-GRAB_DA_MG-vs-LG_fmg_fish02_exp07_20210624_234641/
20210625,fish01,MG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/gfap-GRABDA/MG_vs_NGGU/20210625/fish01/6dpf_elavl3-GRAB_DA_MG-vs-NGGU_fmg_fish01_exp05_20210625_191901/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210625/fish01/6dpf_elavl3-GRAB_DA_MG-vs-NGGU_fmg_fish01_exp05_20210625_191901/
20210807,fish00,dbh-cochr,/nrs/ahrens/jing/statemod/neuromod/gal4-dbh_uas-cochr/elavl3-jrgeco/20210807/fish00/8dpf_gal4-dbh-uas-cochr_elavl3-jrgeco_stim-probe-1-11-21_fish00_exp03_20210807_181648/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210807/fish00/8dpf_gal4-dbh-uas-cochr_elavl3-jrgeco_stim-probe-1-11-21_fish00_exp03_20210807_181648/
20210807,fish01,dbh-cochr,/nrs/ahrens/jing/statemod/neuromod/gal4-dbh_uas-cochr/elavl3-jrgeco/20210807/fish01/8dpf_gal4-dbh-uas-cochr_elavl3-jrgeco_stim-probe-1-11-21_fish01_exp02_20210807_232644/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data//20210807/fish01/8dpf_gal4-dbh-uas-cochr_elavl3-jrgeco_stim-probe-1-11-21_fish01_exp02_20210807_232644/
20210812,fish00,gfap-cochr,/nrs/ahrens/jing/statemod/neuromod/gfap-gal4_uas-cochr/elavl3-jrgeco/20210812/fish00/6dpf_gfap-gal4-uas-cochr_elavl3-rgeco_stim-probe_fish00_exp03_20210812_190929/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210812/fish00/6dpf_gfap-gal4-uas-cochr_elavl3-rgeco_stim-probe_fish00_exp03_20210812_190929/
20210813,fish00,gfap-cochr,/nrs/ahrens/jing/statemod/neuromod/gfap-gal4_uas-cochr/elavl3-jrgeco/20210813/fish00/7dpf_gfap-gal4-uas-cochr_elavl3-rgeco_stim-probe_fish00_exp02_20210813_181542/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210813/fish00/7dpf_gfap-gal4-uas-cochr_elavl3-rgeco_stim-probe_fish00_exp02_20210813_181542/
20211209,fish01,NG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/NG_vs_NGGU/20211209/fish01/6dpf_elavl3-GC8F-gfap-jrgeco_NGGU-vs-NGtrunc11_fish01_exp04_20211209_235249/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211209/fish01/6dpf_elavl3-GC8F-gfap-jrgeco_NGGU-vs-NGtrunc11_fish01_exp04_20211209_235249/
20210731,fish00,MG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_NGGU/20210731/fish00/7dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU_fish00_exp03_20210731_182758/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210731/fish00/7dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU_fish00_exp03_20210731_182758/
20210723,fish02,MG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_NGGU/20210723/fish02/7dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU-15sectrunc_fish02_exp05_20210723_232205/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210723/fish02/7dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU-15sectrunc_fish02_exp05_20210723_232205/
20211210,fish00,NG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/NG_vs_NGGU/20211210/fish00/7dpf_elavl3-GC8F-gfap-jrgeco_NGGU-vs-NGtrunc6_fish00_exp06_20211210_190857,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211210/fish00/7dpf_elavl3-GC8F-gfap-jrgeco_NGGU-vs-NGtrunc6_fish00_exp06_20211210_190857/
20211217,fish01,NG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/NG_vs_NGGU/20211217/fish01/7dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc7-vs-NGGU_fish01_exp03_20211218_000137/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211217/fish01/7dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc7-vs-NGGU_fish01_exp03_20211218_000137/
20211007,fish00,MG_vs_NGGU-trunc_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/
20210724,fish00,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20210724/fish00/6dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU-trunc_fish00_exp05_20210724_212408/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210724/fish00/6dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU-trunc_fish00_exp05_20210724_212408/
20210730,fish00,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MGGU_vs_NGGU/20210730/fish00/7dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU-trunc10_fish00_exp02_20210730_181533/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210730/fish00/7dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU-trunc10_fish00_exp02_20210730_181533/
20210729,fish01,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_MGGU/20210729/fish01/6dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU_fish01_exp03_20210729_211147/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210729/fish01/6dpf_HuC-GCaMP8F-gfap-jrgeco_MG-vs-NGGU_fish01_exp03_20210729_211147/
20211008,fish01,MG_vs_NGGU-trunc_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_NGGU/20211008/fish01/6dpf_elavl3-gc8f-gfap-jregeco_MG-vs-NGGU-trunc35_fish01_exp03_20211009_004814/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211008/fish01/6dpf_elavl3-gc8f-gfap-jregeco_MG-vs-NGGU-trunc35_fish01_exp03_20211009_004814/