,dat_dir,save_dir,taskType,high_res,im_volseg,rr,rl,Note
0,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined/,None,0.398841959,0.78927451,
1,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191201/fish00/7dpf_HuC-GC7FF_ref-stack_fish00_exp08_combined/,None,0.233117981,0.65781339,
2,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20200105/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp06_20200105_214700/,None,0.748924744,0.569967941,
3,/nrs/ahrens/jing/statemod/statedep/elavl3-H2b-GC/20210618/fish00/7dpf_HuC-h2b-GC7F_MG-vs-NGGU-omr_fish00_exp02_20210618_161527/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210618/fish00/7dpf_HuC-h2b-GC7F_MG-vs-NGGU-omr_fish00_exp02_20210618_161527/im_CM0_voluseg/,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-H2b-GC/20210618/fish00/7dpf_HuC-h2b-GC7F_ref-stack_fish00_exp03_20210618_201834/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-H2b-GC/20210618/fish00/7dpf_HuC-h2b-GC7F_MG-vs-NGGU-omr_fish00_exp02_20210618_161527/im_CM0_voluseg,0.043328283,0.466315058,
4,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/im_CM0_voluseg/,MG_vs_NGGU-trunc_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_ref-stack_fish00_exp04_20211007_211100/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/im_CM0_voluseg,0.262842528,0.570649736,
5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20201101/fish02/9dpf_HuC-GC6F_MG-vs-ReplayGU_fish02_exp02_20201101_214112/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201101/fish02/9dpf_HuC-GC6F_MG-vs-ReplayGU_fish02_exp02_20201101_214112/im_CM0-voluseg/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20201101/fish02/9dpf_HuC-GC6F_ref-stack_fish02_exp04_20201102_012403/im_CM0/,None,0.538922848,0.448727139,
6,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM0_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_ref-stack_fish01_exp02_20220225_204021/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM0_voluseg,0.49349186,0.532903295,
7,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM0_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_ref-stack_fish02_exp02_20211216_224437/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM0_voluseg,0.628998317,0.310756998,
8,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM1_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_ref-stack_fish01_exp02_20220225_204021/processed/im_CM1_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM1_voluseg,0.49349186,0.532903295,
9,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM1_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_ref-stack_fish02_exp02_20211216_224437/processed/im_CM1_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM1_voluseg,0.628998317,0.310756998,
10,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/NG_vs_NGGU/20211210/fish00/7dpf_elavl3-GC8F-gfap-jrgeco_NGGU-vs-NGtrunc6_fish00_exp06_20211210_190857/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211210/fish00/7dpf_elavl3-GC8F-gfap-jrgeco_NGGU-vs-NGtrunc6_fish00_exp06_20211210_190857/,NG_vs_NGGU,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/NG_vs_NGGU/20211210/fish00/7dpf_elavl3-GC8F-gfap-jrgeco_ref-stack_fish00_exp05_20211210_185200/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/NG_vs_NGGU/20211210/fish00/7dpf_elavl3-GC8F-gfap-jrgeco_NGGU-vs-NGtrunc6_fish00_exp06_20211210_190857/im_CM0_voluseg,0.471970641,0.474605302,
11,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABDA/NG_vs_NGGU/20220403/fish02/7dpf_elavl3-GRABDA_NG-trunc119-fmg_fish02_exp03_20220403_191229/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220403/fish02/7dpf_elavl3-GRABDA_NG-trunc119-fmg_fish02_exp03_20220403_191229/,NG_vs_NGGU_fmg,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABDA/NG_vs_NGGU/20220403/fish02/7dpf_elavl3-GRABDA_ref-stack_fish02_exp02_20220403_190936/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABDA/NG_vs_NGGU/20220403/fish02/7dpf_elavl3-GRABDA_NG-trunc119-fmg_fish02_exp03_20220403_191229/im_CM0_voluseg,0.713389864,0.699820443,
12,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,LGGU_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined/,None,0.65710839,0.650929059,
13,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_replayGU/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730/im_removal_osc/,LG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish01_exp09_20200818_102740/,None,0.464071449,0.61412372,
14,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_replayGU/20200823/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM0_removal_osc/,LG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20200823/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish01_exp15_20200824_002157/im_CM0/,None,0.706526441,0.832619093,
15,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0_removal_osc/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish02_exp06_20200908_021756/im_CM0/,None,0.168225732,0.799448788,
16,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191205/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp04_20191206_001850,None,0.710628388,0.669358624,fish is passive in CL
17,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NG/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/,LG_vs_NG,/nrs/ahrens/jing/statemod/suppl/20200211/fish00/7dpf_HuC-Gc7FF_ref-stack_fish00_exp04_20200211_204942/,None,0.551346008,0.550336741,NG not drive passive state
18,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20210522/fish02/6dpf_HuC-GC7FF_MG-vs-NG-fmg_fish02_exp04_20210521_194817/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210522/fish02/6dpf_HuC-GC7FF_MG-vs-NG-fmg_fish02_exp04_20210521_194817/im_CM0_voluseg/,MG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20210522/fish02/6dpf_HuC-GC7FF_ref-stack_fish02_exp10_20210522_011700/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20210522/fish02/6dpf_HuC-GC7FF_MG-vs-NG-fmg_fish02_exp04_20210521_194817/im_CM0_voluseg,0.714225564,0.752294101,very few pulse selective cells
19,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/im_CM0_voluseg/,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_ref-stack_fish01_exp08_20201028_045004/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/im_CM0_voluseg,0.73950242,0.459272123,very few pulse selective cells