,dat_dir,save_dir,taskType,high_res,rr,rl
0,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,LGGU_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined/,0.6571083901658226,0.6509290591287813
1,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined/,0.3988419593531631,0.7892745095674493
2,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191201/fish00/7dpf_HuC-GC7FF_ref-stack_fish00_exp08_combined/,0.2331179805216809,0.6578133898721599
3,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20200105/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp06_20200105_214700/,0.7489247443285275,0.5699679410673377
4,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0_removal_osc/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish02_exp06_20200908_021756/im_CM0/,0.1682257316412487,0.799448787644304
5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/im_CM0/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20201231/fish00/5dpf_HuC-GC7FF_ref-stack_fish00_exp05_20210101_011320/im_CM0/,0.7175402572308321,0.6864973125073265
6,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/im_CM0/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20210101/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp08_20210102_052728/,0.6366077920632313,0.8084615841090853
7,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp03_20210101_232043/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp03_20210101_232043/im_CM0/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20210101/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp08_20210102_052728/,0.7072189727839086,0.8523593046030986
8,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/im_CM0_voluseg/,MG_vs_NGGU-trunc_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_ref-stack_fish00_exp04_20211007_211100/processed/,0.26284252794304785,0.5706497363086048
9,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_NGGU/20211008/fish01/6dpf_elavl3-gc8f-gfap-jregeco_MG-vs-NGGU-trunc35_fish01_exp03_20211009_004814/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211008/fish01/6dpf_elavl3-gc8f-gfap-jregeco_MG-vs-NGGU-trunc35_fish01_exp03_20211009_004814/im_CM0_voluseg/,MG_vs_NGGU-trunc_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_NGGU/20211008/fish01/6dpf_elavl3-gc8f-gfap-jregeco_ref-stack_fish01_exp02_20211009_004715/processed/,0.1834147808518132,0.39200161356773067
10,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU/20200930/fish00/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LGvsNGGU_multivel_fish00_exp04_20200930_190442/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200930/fish00/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LGvsNGGU_multivel_fish00_exp04_20200930_190442/im_CM0_voluseg/,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU/20200930/fish00/5dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish00_exp07_20201001_010835/,0.2268728790202289,0.8288569506701676
11,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_ref-stack_fish01_exp02_20200218_214551/,0.48158901131078885,0.509778588585002
12,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM0_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_ref-stack_fish02_exp02_20211216_224437/,0.6289983168090595,0.31075699819879105
13,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20190906/fish02/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01_20190906_202556/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190906/fish02/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01_20190906_202556/im_CM0_voluseg/,LG_vs_NGGU_fmg,No high res,0.8268837329766129,0.9242119007732672
14,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639/,LGGU_vs_NGGU_fmg,No high res,0.8187249229220386,0.7620266348634501
