,dat_dir,save_dir,singlePlane,taskType
0,/nrs/ahrens/jing/state_modulation/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,FALSE,LGGU_vs_NGGU
1,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,FALSE,LG_vs_NGGU
2,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,FALSE,LG_vs_NGGU
3,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU_multivel/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/,FALSE,LG_vs_NGGUmultivel
4,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/,FALSE,LG_vs_NGGU
5,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,FALSE,LG_vs_NGGU
6,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU_fish03_exp02_20200107_201417/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU_fish03_exp02_20200107_201417/,FALSE,LG_vs_NGGU
7,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU_multivel/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/,FALSE,LG_vs_NGGU
8,/nrs/ahrens/jing/state_modulation/LG_vs_NG/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/,FALSE,LG_vs_NG
9,/nrs/ahrens/jing/state_modulation/LG_vs_NG/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122/,FALSE,LG_vs_NG
10,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/,FALSE,LG_vs_NGGU
11,/nrs/ahrens/jing/state_modulation/LG_vs_replayGU/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200817/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730/im_removal_osc/,FALSE,LG_vs_replayGU
12,/nrs/ahrens/jing/state_modulation/LG_vs_replayGU/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM0_removal_osc/,FALSE,LG_vs_replayGU
13,/nrs/ahrens/jing/state_modulation/LG_vs_replayGU/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM1/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM1_removal_osc/,FALSE,LG_vs_replayGU
14,/nrs/ahrens/jing/state_modulation/LG_vs_HG/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630/im_removal_osc/,FALSE,LG_vs_HG
15,/nrs/ahrens/jing/state_modulation/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0_removal_osc/,FALSE,MG_vs_replayGU
16,/nrs/ahrens/jing/state_modulation/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM1/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM1_removal_osc/,FALSE,MG_vs_replayGU
17,/scratch/limj2/state_modulation/LG_vs_NGGU/20200807/fish02/7dpf_HuC-GC7FF_gfap-rgeco_NGGUvsLG_fish02_exp_combined/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200807/fish02/7dpf_HuC-GC7FF_gfap-rgeco_NGGUvsLG_fish02_exp_combined/im_CM0_removal_osc/,FALSE,LG_vs_NGGU
18,/scratch/limj2/state_modulation/LG_vs_NGGU/20200807/fish02/7dpf_HuC-GC7FF_gfap-rgeco_NGGUvsLG_fish02_exp_combined/im_CM1/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200807/fish02/7dpf_HuC-GC7FF_gfap-rgeco_NGGUvsLG_fish02_exp_combined/im_CM1_removal_osc/,FALSE,LG_vs_NGGU
19,/nrs/ahrens/jing/state_modulation/simulate_visual/20201017/fish00/8dpf_HuC-GCaMP7f-Gfap-rgeco_simulate-visual_fish00_exp02_20201017_084122/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201017/fish00/8dpf_HuC-GCaMP7f-Gfap-rgeco_simulate-visual_fish00_exp02_20201017_084122/im_CM0_removal_osc/,FALSE,simulate-visual
20,/nrs/ahrens/jing/state_modulation/simulate_visual/20201017/fish00/8dpf_HuC-GCaMP7f-Gfap-rgeco_simulate-visual_fish00_exp02_20201017_084122/im_CM1/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201017/fish00/8dpf_HuC-GCaMP7f-Gfap-rgeco_simulate-visual_fish00_exp02_20201017_084122/im_CM1_removal_osc/,FALSE,simulate-visual
21,/nrs/ahrens/jing/state_modulation/simulate_visual/20201027/fish00/7dpf_HuC-GCaMP7FF-gfap-rgeco_fish00_simulate-visual_exp01_20201027_192908/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201027/fish00/7dpf_HuC-GCaMP7FF-gfap-rgeco_fish00_simulate-visual_exp01_20201027_192908/im_CM0_removal_osc/,FALSE,simulate-visual
22,/nrs/ahrens/jing/state_modulation/simulate_visual/20201027/fish00/7dpf_HuC-GCaMP7FF-gfap-rgeco_fish00_simulate-visual_exp01_20201027_192908/im_CM1/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201027/fish00/7dpf_HuC-GCaMP7FF-gfap-rgeco_fish00_simulate-visual_exp01_20201027_192908/im_CM1_removal_osc/,FALSE,simulate-visual
23,/nrs/ahrens/jing/state_modulation/simulate_visual/20201009/fish01/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish01_exp01_20201010_000350/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201009/fish01/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish01_exp01_20201010_000350/im_CM0_removal_osc/,FALSE,simulate-visual
24,/nrs/ahrens/jing/state_modulation/simulate_visual/20201009/fish01/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish01_exp01_20201010_000350/im_CM1/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201009/fish01/8dpf_HuC-GC7FFF-GFAP-RGECO_simulate-visual_fish01_exp01_20201010_000350/im_CM1_removal_osc/,FALSE,simulate-visual
25,/nrs/ahrens/jing/state_modulation/MG_vs_replayGU/20201225/fish01/7dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20201225_210323/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201225/fish01/7dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20201225_210323/im_CM0/,FALSE,MG_vs_replayGU
26,/nrs/ahrens/jing/state_modulation/MG_vs_replayGU/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/im_CM0/,FALSE,MG_vs_replayGU
27,/nrs/ahrens/jing/state_modulation/MG_vs_replayGU/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/im_CM0/,FALSE,MG_vs_replayGU