,dat_dir,save_dir,hr_dir,cf_dir,singlePlane,taskType
1,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639, ,,False,LG_vs_NGGU
2,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined,,False,LG_vs_NGGU
3,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191201/fish00/7dpf_HuC-GC7FF_ref-stack_fish00_exp08_combined,,False,LG_vs_NGGU
4,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191205/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp04_20191206_001850,,False,LG_vs_NGGU
5,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200105/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp06_20200105_214700,,False,LG_vs_NGGU
6,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_ref-stack_fish01_exp02_20200218_214551,,False,LG_vs_NGGU
7,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU_multivel/20201201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191201/fish00/7dpf_HuC-GC7FF_ref-stack_fish00_exp08_combined,,False,LG_vs_NGGU_multivel
8,/nrs/ahrens/jing/state_modulation/LG_vs_replayGU/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200817/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-replayGU_fish01_exp04_20200817_184730/,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200817/5dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish01_exp09_20200818_102740,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200817/5dpf_HuC-GCaMP7FF-GFAP-RGECO_confocal_fish01_exp10/20200818_5dpf_HuC-GCaMP7FF_1um-interval_360um-deep_green-only_fish01.czi,False,LG_vs_replayGU
9,/nrs/ahrens/jing/state_modulation/LG_vs_replayGU/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200823/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish01_exp15_20200824_002157,,False,LG_vs_replayGU
10,/nrs/ahrens/jing/state_modulation/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined,,False,LGGU_vs_NGGU
11,/nrs/ahrens/jing/state_modulation/LG_vs_NG/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200211/fish00/7dpf_HuC-Gc7FF_ref-stack_fish00_exp04_20200211_204942,,False,LG_vs_NG
12,/nrs/ahrens/jing/state_modulation/LG_vs_NG/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_ref-stack_fish00_exp04_20200218_002351,,False,LG_vs_NG
13,/nrs/ahrens/jing/state_modulation/LG_vs_HG/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630,,,False,LG_vs_HG
